url,final_url,status_code,load_time_ms,title,meta_description,canonical,h1_count,h1_text,word_count,images_total,images_with_alt,internal_links_count,jsonld_count,jsonld_types,og_title,og_description,og_image,ga4_sessions,ga4_engagement_rate,ga4_bounce_rate
https://crazybowlsandwraps.com/salad_categories/popular/,https://crazybowlsandwraps.com/salad_categories/popular/,200,397,Popular – Crazy Bowls and Wraps,,,1,Salad Category:Popular,74,4,4,6,0,,,,,,,
https://crazybowlsandwraps.com/choose-your-location/,https://crazybowlsandwraps.com/choose-your-location/,200,181,Choose Your Location – Crazy Bowls and Wraps,,https://crazybowlsandwraps.com/choose-your-location/,2,Choose Your Location | CHOOSE YOUR LOCATION,44,3,3,4,0,,,,,1060,0.9208,0.0792
https://crazybowlsandwraps.com/kids_menu/kids-teriyaki-chicken-wrap/,https://crazybowlsandwraps.com/kids_menu/kids-teriyaki-chicken-wrap/,200,198,Kids’ Teriyaki Chicken Wrap – Crazy Bowls and Wraps,,https://crazybowlsandwraps.com/kids_menu/kids-teriyaki-chicken-wrap/,1,Kids’ Teriyaki Chicken Wrap,31,2,2,3,0,,,,,,,
https://crazybowlsandwraps.com/bowls/power-bowl-7-55-8-80/,https://crazybowlsandwraps.com/bowls/power-bowl-7-55-8-80/,200,206,Power Bowl – Crazy Bowls and Wraps,,https://crazybowlsandwraps.com/bowls/power-bowl-7-55-8-80/,1,Power Bowl,30,2,1,3,0,,,,,,,
https://crazybowlsandwraps.com/gift-cards/,https://crazybowlsandwraps.com/gift-cards/,200,201,Gift Cards – Crazy Bowls and Wraps,,https://crazybowlsandwraps.com/gift-cards/,1,Gift Cards,191,3,3,4,0,,,,,,,
https://crazybowlsandwraps.com/louisville_starters/beans-rice/,https://crazybowlsandwraps.com/louisville_starters/beans-rice/,200,394,Beans & Rice – Crazy Bowls and Wraps,,https://crazybowlsandwraps.com/louisville_starters/beans-rice/,1,Beans & Rice,34,2,2,3,0,,,,,,,
https://crazybowlsandwraps.com/sides/banana/,https://crazybowlsandwraps.com/sides/banana/,200,208,Banana – Crazy Bowls and Wraps,,https://crazybowlsandwraps.com/sides/banana/,1,Banana,14,2,1,3,0,,,,,,,
https://crazybowlsandwraps.com/breakfast/banana/,https://crazybowlsandwraps.com/breakfast/banana/,200,86,Banana  – Crazy Bowls and Wraps,,https://crazybowlsandwraps.com/breakfast/banana/,1,Banana,14,2,1,3,0,,,,,,,
https://crazybowlsandwraps.com/delivery/,https://crazybowlsandwraps.com/delivery/,200,382,Delivery – Crazy Bowls and Wraps,,https://crazybowlsandwraps.com/delivery/,0,,50,3,3,4,0,,,,,209,0.3110,0.6890
https://crazybowlsandwraps.com/salad_categories/vegetarian/,https://crazybowlsandwraps.com/salad_categories/vegetarian/,200,164,Vegetarian – Crazy Bowls and Wraps,,,1,Salad Category:Vegetarian,74,4,4,6,0,,,,,,,
https://crazybowlsandwraps.com/wraps/caesar-wrap/,https://crazybowlsandwraps.com/wraps/caesar-wrap/,200,236,Caesar Wrap – Crazy Bowls and Wraps,,https://crazybowlsandwraps.com/wraps/caesar-wrap/,1,Caesar Wrap,26,2,1,3,0,,,,,173,0.4046,0.5954
https://crazybowlsandwraps.com/bowls/poke-bowl-10-25/,https://crazybowlsandwraps.com/bowls/poke-bowl-10-25/,200,150,Poke Bowl – Crazy Bowls and Wraps,,https://crazybowlsandwraps.com/bowls/poke-bowl-10-25/,1,Poke Bowl,54,2,2,3,0,,,,,,,
https://crazybowlsandwraps.com/starters/gluten-free-falafel/,https://crazybowlsandwraps.com/starters/gluten-free-falafel/,200,189,Gluten Free Falafel – Crazy Bowls and Wraps,,https://crazybowlsandwraps.com/starters/gluten-free-falafel/,1,Gluten Free Falafel,31,2,1,3,0,,,,,,,
https://crazybowlsandwraps.com/wrap_categories/popular/,https://crazybowlsandwraps.com/wrap_categories/popular/,200,139,Popular – Crazy Bowls and Wraps,,,1,Wrap Category:Popular,109,7,1,9,0,,,,,,,
https://crazybowlsandwraps.com/breakfast/breakfast-crunch/,https://crazybowlsandwraps.com/breakfast/breakfast-crunch/,200,112,Breakfast Crunch – Crazy Bowls and Wraps,,https://crazybowlsandwraps.com/breakfast/breakfast-crunch/,1,Breakfast Crunch,32,2,1,3,0,,,,,,,
https://crazybowlsandwraps.com/dessert/crazy-crispy-treat-original/,https://crazybowlsandwraps.com/dessert/crazy-crispy-treat-original/,200,145,Crazy Crispy Treat – Original – Crazy Bowls and Wraps,,https://crazybowlsandwraps.com/dessert/crazy-crispy-treat-original/,1,Crazy Crispy Treat – Original,22,2,1,3,0,,,,,,,
https://crazybowlsandwraps.com/p/,https://crazybowlsandwraps.com/p/,200,191,Paytronix – Crazy Bowls and Wraps,,https://crazybowlsandwraps.com/p/,0,,63,1,1,3,0,,,,,,,
https://crazybowlsandwraps.com/,https://crazybowlsandwraps.com/,200,172,Crazy Bowls and Wraps – Fresh Food Fast,,https://crazybowlsandwraps.com/,1,CHOOSE YOUR LOCATION,118,8,7,5,0,,,,,166277,0.6576,0.3424
https://crazybowlsandwraps.com/breakfast/breakfast-bowl/,https://crazybowlsandwraps.com/breakfast/breakfast-bowl/,200,189,Breakfast Bowl – Crazy Bowls and Wraps,,https://crazybowlsandwraps.com/breakfast/breakfast-bowl/,1,Breakfast Bowl,35,2,1,3,0,,,,,,,
