Location,Slug,Street Address,City,State,Zip Code,Assigned Store,Order Count,First Order Date,Last Order Date,Days Since Last Order,Median Reorder Gap (days),Avg Food Total,Total Food Spend,Primary Source,Segment
Hunter engineering - c/o Jim T,hunter-engineering---c-o-jim-t,"11250 Hunter Dr Building ""A""",Bridgeton,MO,63044.0,West Oak,4,2025-12-17,2026-06-30,27,60.0,272.85,1091.4,Marketplace Takeout,active
Mercy,mercy,3915 Watson Rd Suite 100B,St. Louis,MO,63109.0,Sunset Hills,4,2026-03-23,2026-07-20,7,47.0,294.85,1179.4,Marketplace Takeout,active
WashU,washu,7425 Forsyth Blvd,Clayton,MO,63105.0,Forsyth/Clayton,4,2025-11-11,2026-07-13,14,73.0,263.45,1053.79,Marketplace Takeout,active
Weissman Photo Studio,weissman-photo-studio,6726 Manchester Ave,St. Louis,MO,63139.0,South City,4,2026-02-26,2026-07-15,12,34.0,507.86,2031.45,Marketplace Takeout,active
Benefit Finance Partners,benefit-finance-partners,6 Cityplace Dr 6 Cityplace Drive 400,Creve Coeur,MO,63141.0,Creve Coeur,3,2025-11-03,2026-07-20,7,128.0,419.87,1259.6,Marketplace Takeout,active
Ernst and Young,ernst-and-young,7676 Forsyth Blvd Suite 2600,Clayton,MO,63105.0,Forsyth/Clayton,3,2026-06-18,2026-07-15,12,13.0,212.92,638.76,Marketplace Takeout,active
St Elizabeths cath lab and ep lab in hospital,st-elizabeths-cath-lab-and-ep-lab-in-hospital,1 St Elizabeth's Blvd Second floor,O'Fallon,IL,62269.0,Shiloh,3,2025-04-11,2026-07-16,11,230.0,596.33,1789.0,Marketplace Takeout,active
St. Louis Music,st-louis-music,1400 Ferguson Ave,St. Louis,MO,63133.0,Forsyth/Clayton,3,2026-07-14,2026-07-16,11,0.0,142.07,426.22,Marketplace Takeout,active
Clementine's Ice Cream,clementines-ice-cream,8014 N Broadway,St. Louis,MO,63147.0,Lindell/SLU,2,2026-05-04,2026-07-17,10,73.0,313.88,627.75,Marketplace Takeout,active
Dr. Michael Snyder,dr-michael-snyder,12700 Southfork Rd 270,St. Louis,MO,63128.0,Tesson,2,2026-05-21,2026-07-09,18,48.0,251.52,503.05,Marketplace Takeout,active
Gatewood Wealth Solutions,gatewood-wealth-solutions,1401 S Brentwood Blvd Suite 400,St. Louis,MO,63144.0,Rock Hill/Glendale,2,2026-05-01,2026-07-20,7,80.0,283.7,567.4,Marketplace Takeout,active
Heartland Dental,heartland-dental,701 Emerson Rd 1st Floor- Straight back upon entry,Creve Coeur,MO,63141.0,West Oak,2,2026-04-01,2026-07-10,17,99.0,161.09,322.18,Marketplace Takeout,active
Mercy South Hospital - Hospitalist Office,mercy-south-hospital---hospitalist-office,10100 Kennerly Rd,Sappington,MO,63128.0,Tesson,2,2026-07-01,2026-07-08,19,7.0,380.55,761.1,Marketplace Takeout,active
Procter and Gamble Mfg,procter-and-gamble-mfg,169 E Grand Ave Collaboration Center,St. Louis,MO,63147.0,Lindell/SLU,2,2025-10-01,2026-07-14,13,286.0,162.38,324.75,Marketplace Takeout,active
SIEMENS,siemens,13690 Riverport Dr 100,Maryland Heights,MO,63043.0,Lindenwood,2,2025-07-17,2026-07-23,4,371.0,770.88,1541.75,Marketplace Takeout,active
St. Lukes Multispecialty,st-lukes-multispecialty,222 S Woods Mill Rd Suite 750 North building,Chesterfield,MO,63017.0,Creve Coeur,2,2025-12-16,2026-06-30,27,195.0,350.32,700.63,Marketplace Takeout,active
Talisen Technologies Inc,talisen-technologies-inc,12655 Olive Blvd 500,Creve Coeur,MO,63141.0,Creve Coeur,2,2025-08-20,2026-07-07,20,321.0,159.6,319.2,Marketplace Takeout,active
AAIM Employers' Association,aaim-employers-association,12851 Manchester Rd Suite 150,St. Louis,MO,63131.0,Manchester,1,2026-07-20,2026-07-20,7,,112.5,112.5,Marketplace Takeout,active
Ameren - North Metro Operating Center,ameren---north-metro-operating-center,4427 Geraldine Ave,St. Louis,MO,63115.0,Lindell/SLU,1,2026-07-22,2026-07-22,5,,302.9,302.9,Marketplace Takeout,active
Barnes Jewish Hospital POD 5,barnes-jewish-hospital-pod-5,4969 Barnes Jewish Hospital Plaza POD5,St. Louis,MO,63110.0,Lindell/SLU,1,2026-07-07,2026-07-07,20,,931.99,931.99,Marketplace Takeout,active
Confluence Academies,confluence-academies,319 N 4th St Suite 500,St. Louis,MO,63102.0,Lindell/SLU,1,2026-06-30,2026-06-30,27,,102.47,102.47,Marketplace Takeout,active
Creve Couer Soccer Complex,creve-couer-soccer-complex,2350 Creve Coeur Mill Rd,Maryland Heights,MO,63043.0,Creve Coeur,1,2026-06-29,2026-06-29,28,,596.0,596.0,Marketplace Takeout,active
Crossroads Veterinary Hospital,crossroads-veterinary-hospital,10253 Highway DD,Wentzville,MO,63385.0,O'Fallon,1,2026-07-21,2026-07-21,6,,142.75,142.75,Marketplace Takeout,active
Dr Melvin,dr-melvin,5551 Winghaven Blvd Dr Knox suite 142 142,O'Fallon,MO,63368.0,O'Fallon,1,2026-07-16,2026-07-16,11,,243.03,243.03,Marketplace Takeout,active
Ess health urology,ess-health-urology,12255 De Paul Dr 200,Bridgeton,MO,63044.0,Lindenwood,1,2026-07-22,2026-07-22,5,,164.95,164.95,Marketplace Takeout,active
Goodwill Outlet,goodwill-outlet,5665 St Louis Mls Blvd Door 9,Bridgeton,MO,63044.0,Lindenwood,1,2026-07-10,2026-07-10,17,,79.71,79.71,Marketplace Takeout,active
Guarantee Electrical Construction Compa,guarantee-electrical-construction-compa,3415 Bent Ave,St. Louis,MO,63116.0,South City,1,2026-07-09,2026-07-09,18,,140.5,140.5,Marketplace Takeout,active
HSHS Medical Group,hshs-medical-group,2401 S Center St,Maryville,IL,62062.0,Edwardsville,1,2026-07-17,2026-07-17,10,,237.75,237.75,Marketplace Takeout,active
Lafayette Preparatory Academy,lafayette-preparatory-academy,1900 Lafayette Ave,St. Louis,MO,63104.0,Lindell/SLU,1,2026-07-14,2026-07-14,13,,238.2,238.2,Marketplace Takeout,active
Lou Fusz Soccer Complex,lou-fusz-soccer-complex,2155 Creve Coeur Mill Rd,St. Louis,MO,63146.0,Creve Coeur,1,2026-06-29,2026-06-29,28,,1122.0,1122.0,Marketplace Takeout,active
MRHFM- St Louis,mrhfm--st-louis,1015 Locust St Ste 1200,St Louis,MO,63101.0,West Oak,1,2026-07-14,2026-07-14,13,,213.58,213.58,Meal Program,active
Marriott St. Louis West,marriott-st-louis-west,660 Maryville Centre Dr,St. Louis,MO,63141.0,Creve Coeur,1,2026-07-02,2026-07-02,25,,339.6,339.6,Marketplace Takeout,active
Mercy Dr levey,mercy-dr-levey,300 Winding Woods Dr 100,O'Fallon,MO,63366.0,O'Fallon,1,2026-07-06,2026-07-06,21,,246.08,246.08,Marketplace Takeout,active
Mercy Oncology Suite 120,mercy-oncology-suite-120,15945 Clayton Rd 150,Ballwin,MO,63011.0,Chesterfield Valley,1,2026-07-13,2026-07-13,14,,307.2,307.2,Marketplace Takeout,active
Mercy Primary Care 2nd FL,mercy-primary-care-2nd-fl,7345 Watson Rd 202,St. Louis,MO,63119.0,South City,1,2026-07-24,2026-07-24,3,,503.95,503.95,Marketplace Takeout,active
Nashville SC,nashville-sc,2019 Market St,St. Louis,MO,63103.0,Lindell/SLU,1,2026-07-09,2026-07-09,18,,708.7,708.7,Marketplace Takeout,active
Nestle Purina Petcare - E Bldg,nestle-purina-petcare---e-bldg,800 Chouteau Ave,St. Louis,MO,63102.0,Lindell/SLU,1,2026-07-15,2026-07-15,12,,367.0,367.0,Marketplace Takeout,active
Nestle Purina Petcare - Tower Building,nestle-purina-petcare---tower-building,901 Chouteau Ave,St. Louis,MO,63102.0,Lindell/SLU,1,2026-07-23,2026-07-23,4,,249.75,249.75,Marketplace Takeout,active
ROESLEIN AND ASSOCIATES-,roeslein-and-associates-,9200 Watson Rd,St. Louis,MO,63126.0,Sunset Hills,1,2026-07-14,2026-07-14,13,,293.5,293.5,Marketplace Takeout,active
Scott Air Force Base,scott-air-force-base,719 Scheel St,Belleville,IL,62220.0,Shiloh,1,2026-07-24,2026-07-24,3,,1006.15,1006.15,Marketplace Takeout,active
The retina institue,the-retina-institue,5 Country Club Executive Park,Glen Carbon,IL,62034.0,Edwardsville,1,2026-07-27,2026-07-27,0,,243.95,243.95,Marketplace Takeout,active
Urology of st louis fairview heights,urology-of-st-louis-fairview-heights,326 Fountains Pkwy,Fairview Heights,IL,62208.0,Shiloh,1,2026-07-06,2026-07-06,21,,246.0,246.0,Marketplace Takeout,active
WashU Bernard Becker Medical Library,washu-bernard-becker-medical-library,660 S Euclid Ave,St. Louis,MO,63110.0,South City,1,2026-07-15,2026-07-15,12,,209.35,209.35,Marketplace Takeout,active
WashU Biology Department Danforth Campus,washu-biology-department-danforth-campus,Tolman Wy,St. Louis County,MO,63105.0,Forsyth/Clayton,1,2026-07-22,2026-07-22,5,,204.34,204.34,Marketplace Takeout,active
Washington University - Pediatric Residency,washington-university---pediatric-residency,1 Children's Place St. Louis Children’s Hospital Visitor Garage 2nd Level Drop Off/Pick Up Zone,St. Louis,MO,63110.0,Lindell/SLU,1,2026-06-30,2026-06-30,27,,1072.75,1072.75,Marketplace Takeout,active
"World Wide Technology, Inc.",world-wide-technology-inc,701 Fee Fee Rd,Maryland Heights,MO,63043.0,West Oak,1,2026-07-08,2026-07-08,19,,83.7,83.7,Marketplace Takeout,active
Nestle Purina Pet Care,nestle-purina-pet-care,901 Chouteau Ave 5T,St. Louis,MO,63102.0,Lindell/SLU,4,2025-07-07,2025-12-02,237,47.0,121.46,485.83,Marketplace Takeout,cold
Sysco Foods,sysco-foods,3850 Mueller Rd,Saint Charles,MO,63301.0,Lindenwood,4,2025-03-04,2025-04-10,473,7.0,325.59,1302.35,ezOrdering Takeout,cold
[REMOVED],[removed],4620381 Ezcater St,Ezcater,MA,63045.0,O'Fallon,4,2025-04-23,2025-11-12,257,65.0,219.36,877.45,Marketplace Takeout,cold
AFB International,afb-international,3 Research Park Dr,Weldon Spring,MO,63304.0,O'Fallon,3,2025-03-20,2025-09-04,326,84.0,413.7,1241.1,Marketplace Takeout,cold
ATB Technologies,atb-technologies,14567 N Outer 40 Rd suite 525,Chesterfield,MO,63017.0,West Oak,3,2025-01-13,2025-04-04,479,40.0,252.72,758.15,Meal Program,cold
Advantage Solutions,advantage-solutions,8001 Forsyth Blvd Suite 1025 Suite 1025 / 10th floor,Clayton,MO,63105.0,Forsyth/Clayton,3,2025-01-09,2025-08-07,354,104.0,216.15,648.45,Marketplace Takeout,cold
CEDARHURST SENIOR LIVING,cedarhurst-senior-living,300 Hunter Ave SUITE 200,St. Louis,MO,63124.0,Forsyth/Clayton,3,2025-04-29,2025-06-05,417,17.0,183.4,550.2,Marketplace Takeout,cold
Caleres,caleres,8300 Maryland Ave co Jennifer Grace,Clayton,MO,63105.0,Forsyth/Clayton,3,2025-01-13,2025-02-25,517,21.0,235.93,707.8,Marketplace Takeout,cold
Chestnut Health Systems,chestnut-health-systems,2148 Vadalabene Dr,Maryville,IL,62062.0,Edwardsville,3,2025-02-27,2025-05-19,434,40.0,354.8,1064.4,Marketplace Takeout,cold
Enterprise Rent a Car,enterprise-rent-a-car,9636 Natural Bridge Rd,Berkeley,MO,63134.0,Forsyth/Clayton,3,2025-01-27,2025-02-05,537,4.0,192.43,577.3,Marketplace Takeout,cold
Hunter Engineering - c/o Jim T,hunter-engineering---c-o-jim-t,"11250 Hunter Dr Building ""A""",Bridgeton,MO,63044.0,West Oak,3,2025-02-11,2025-10-22,278,126.0,304.47,913.4,Marketplace Takeout,cold
"McCarthy Building Companies, Inc.",mccarthy-building-companies-inc,12851 Manchester Rd McCarthy - floor 2,Des Peres,MO,63131.0,Manchester,3,2025-01-14,2025-07-10,382,88.0,354.12,1062.35,Marketplace Takeout,cold
Mercy Clinic Pediatrics,mercy-clinic-pediatrics,1203 Smizer Mill Rd Suite 108,Fenton,MO,63026.0,Sunset Hills,3,2025-06-02,2025-12-05,234,93.0,217.5,652.5,Marketplace Takeout,cold
Rung for Women,rung-for-women,2717 Sidney St,St. Louis,MO,63104.0,Lindell/SLU,3,2025-06-04,2025-08-01,360,28.0,463.8,1391.4,Marketplace Takeout,cold
SAINT LOUIS UNIVERSITY,saint-louis-university,3674 Lindell Blvd Floor 2/Shanahan Atrium,St. Louis,MO,63108.0,Lindell/SLU,3,2025-02-06,2025-05-02,451,42.0,296.0,888.0,Marketplace Takeout,cold
St. Louis City Training Center,st-louis-city-training-center,2227 Clark Ave,St. Louis,MO,63103.0,Lindell/SLU,3,2025-11-15,2025-11-15,254,0.0,267.42,802.25,Marketplace Takeout,cold
St. Louis Trust & Family Office,st-louis-trust-and-family-office,7701 Forsyth Blvd Suite 1100,Clayton,MO,63105.0,Forsyth/Clayton,3,2025-01-15,2025-06-17,405,76.0,356.47,1069.4,Marketplace Takeout,cold
Wash-U School of Medicine,wash-u-school-of-medicine,"4990 Children's Pl Northwest Tower, 15th Floor",St. Louis,MO,63110.0,Lindell/SLU,3,2025-02-06,2025-06-19,403,66.0,329.51,988.53,Marketplace Takeout,cold
Washington University School of Medicine,washington-university-school-of-medicine,520 S Euclid Ave,St. Louis,MO,63110.0,Forsyth/Clayton,3,2025-02-13,2025-11-11,258,135.0,242.58,727.73,Marketplace Takeout,cold
Alberici,alberici,8800 Page Ave,St. Louis,MO,63114.0,Forsyth/Clayton,2,2025-05-01,2025-05-22,431,21.0,283.52,567.03,Marketplace Takeout,cold
America's Center Convention Complex Loading Dock,americas-center-convention-complex-loading-dock,701 Convention Plaza,St. Louis,MO,63101.0,Lindell/SLU,2,2025-10-11,2025-10-12,288,0.0,749.5,1499.0,Marketplace Takeout,cold
Anheuser-Busch,anheuser-busch,2800 S 9th St,St. Louis,MO,63118.0,Lindell/SLU,2,2025-03-31,2025-04-15,468,14.0,255.06,510.11,Marketplace Takeout,cold
Ashley Homstore/DSG,ashley-homstore-dsg,3700 Green Mt Crossing Dr,Shiloh,IL,62269.0,Shiloh,2,2025-05-14,2025-09-15,315,124.0,245.38,490.77,Marketplace Takeout,cold
Associated Couriers,associated-couriers,4806 Trade Access Blvd Ste 100 100,Hazelwood,MO,63042.0,Lindenwood,2,2025-02-11,2025-04-08,475,56.0,477.75,955.5,Marketplace Takeout,cold
"Benefit Finance Partners, LLC",benefit-finance-partners-llc,6 Cityplace Dr 4th floor suite 400,Creve Coeur,MO,63141.0,Creve Coeur,2,2025-05-12,2025-09-02,328,113.0,527.55,1055.1,Marketplace Takeout,cold
Cancer Care Specialists,cancer-care-specialists,321 Regency Park,O'Fallon,IL,62269.0,Shiloh,2,2025-03-27,2025-06-12,410,77.0,406.05,812.1,Marketplace Takeout,cold
Cancer Care Specialists of Illinois,cancer-care-specialists-of-illinois,321 Regency Park,O'Fallon,IL,62269.0,Shiloh,2,2025-02-13,2025-05-21,432,97.0,598.5,1197.0,Marketplace Takeout,cold
Cath lab,cath-lab,1 St Elizabeth's Blvd,O'Fallon,IL,62269.0,Shiloh,2,2025-01-13,2025-01-21,552,8.0,388.7,777.4,Marketplace Takeout,cold
Chaifetz Arena,chaifetz-arena,1 S Compton Ave Loading Dock,St. Louis,MO,63103.0,Lindell/SLU,2,2025-10-04,2026-01-03,205,91.0,326.35,652.7,Marketplace Takeout,cold
Core and Main,core-and-main,1830 Craig Park Ct.,St. Louis,MO,63146.0,West Oak,2,2025-03-11,2025-03-18,496,7.0,872.62,1745.25,Marketplace Takeout,cold
Dowd Bennett Law Firm,dowd-bennett-law-firm,7676 Forsyth Blvd 1900,Clayton,MO,63105.0,Forsyth/Clayton,2,2025-07-10,2025-07-17,375,7.0,140.38,280.77,Marketplace Takeout,cold
Equifax,equifax,7676 Forsyth Blvd,Clayton,MO,63105.0,Forsyth/Clayton,2,2025-08-19,2025-12-03,236,105.0,664.53,1329.05,Marketplace Takeout,cold
HNTB,hntb,211 N Broadway 13th floor,St. Louis,MO,63102.0,Lindell/SLU,2,2025-02-24,2025-04-22,461,57.0,230.7,461.4,Marketplace Takeout,cold
Hermann Statdium,hermann-statdium,3330 Laclede Ave Dead end of Laclede Ave,St. Louis,MO,63103.0,Lindell/SLU,2,2025-07-15,2025-08-24,337,40.0,349.28,698.56,Marketplace Takeout,cold
Impact Group,impact-group,12977 N 40 Dr Ste 300,St. Louis,MO,63141.0,West Oak,2,2025-03-31,2025-10-01,299,183.0,294.98,589.95,Marketplace Takeout,cold
KIPP St. Louis High,kipp-st-louis-high,706 N Jefferson Ave,St. Louis,MO,63103.0,Lindell/SLU,2,2025-08-04,2025-09-19,311,46.0,4533.75,9067.5,Marketplace Delivery,cold
Meramec Dermatology,meramec-dermatology,3783 Vogel Rd,Arnold,MO,63010.0,Tesson,2,2025-04-24,2025-07-31,361,98.0,291.1,582.2,Marketplace Takeout,cold
Mercy IBD Center,mercy-ibd-center,1001 S Kirkwood Rd Suite 100,Kirkwood,MO,63122.0,Sunset Hills,2,2025-01-29,2025-05-29,424,120.0,287.25,574.5,Marketplace Takeout,cold
Mercy Internal Med,mercy-internal-med,12855 N Forty Dr Ste 280,St. Louis,MO,63141.0,Manchester,2,2025-05-27,2025-07-30,362,64.0,432.5,865.0,Marketplace Takeout,cold
Mercy endocrinology,mercy-endocrinology,621 S New Ballas Rd Tower a ste 460a,Creve Coeur,MO,63141.0,West Oak,2,2025-05-01,2025-07-17,375,77.0,229.48,458.95,Marketplace Takeout,cold
Missouri Baptist Hospital,missouri-baptist-hospital,3015 N Ballas Rd,St. Louis,MO,63131.0,West Oak,2,2025-01-23,2025-10-01,299,250.0,278.75,557.5,Marketplace Takeout,cold
Moneta,moneta,100 South Brentwood Blvd,St. Louis,MO,63105.0,Forsyth/Clayton,2,2025-01-21,2025-06-18,404,147.0,539.25,1078.5,Marketplace Takeout,cold
Musick Dermatology,musick-dermatology,4948 Benchmark Centre Dr,Swansea,IL,62226.0,Shiloh,2,2025-05-06,2025-06-06,416,31.0,119.93,239.85,Marketplace Takeout,cold
NESTLE PURINA PETCARE,nestle-purina-petcare,801 Chouteau Ave Administration Building/1st Floor Lobby,St. Louis,MO,63102.0,Lindell/SLU,2,2025-07-07,2025-07-30,362,23.0,168.29,336.57,Marketplace Takeout,cold
NUTRIFORMANCE,nutriformance,1033 Corporate Square Dr,St. Louis,MO,63132.0,Creve Coeur,2,2025-08-21,2026-01-15,193,146.0,366.17,732.35,Marketplace Takeout,cold
Optimist International,optimist-international,4494 Lindell Blvd,St. Louis,MO,63108.0,Lindell/SLU,2,2025-05-08,2025-11-13,256,189.0,113.98,227.96,Marketplace Takeout,cold
P&G,pandg,120 E Grand Ave,St. Louis,MO,63147.0,Lindell/SLU,2,2025-02-11,2025-11-12,257,274.0,423.14,846.28,Marketplace Takeout,cold
Physicians pain services,physicians-pain-services,114 Piper Hill Dr Ste 103,St. Peters,MO,63376.0,Lindenwood,2,2025-05-16,2025-05-29,424,13.0,244.53,489.06,Marketplace Takeout,cold
Royal Canin,royal-canin,4 Cityplace Dr 1st Floor,St. Louis,MO,63141.0,West Oak,2,2025-06-18,2025-08-13,348,56.0,339.52,679.05,Marketplace Delivery,cold
SIHF Belleville,sihf-belleville,311 W Lincoln St Suite 200,Belleville,IL,62220.0,Shiloh,2,2025-03-18,2025-09-22,308,187.0,294.15,588.3,Marketplace Takeout,cold
SSM SLUCare Academic Pavilion,ssm-slucare-academic-pavilion,"1008 S Spring Ave 1st Floor, conference room 1001",St. Louis,MO,63110.0,South City,2,2025-10-20,2025-12-29,210,69.0,113.5,227.0,Marketplace Takeout,cold
Saint Louis University,saint-louis-university,20 N Grand Blvd BSC 319,St. Louis,MO,63103.0,Lindell/SLU,2,2025-08-22,2025-10-10,290,48.0,124.57,249.14,Marketplace Takeout,cold
Sensient Colors,sensient-colors,2515 N Jefferson Ave Executive Building,St. Louis,MO,63106.0,Lindell/SLU,2,2025-05-02,2025-10-20,280,170.0,272.95,545.9,Marketplace Takeout,cold
Silverback Brentwood Studios,silverback-brentwood-studios,1034 S Brentwood Blvd,Richmond Heights,MO,63117.0,Creve Coeur,2,2025-03-05,2025-03-15,499,10.0,258.1,516.2,Marketplace Takeout,cold
Sound Health Services,sound-health-services,1010 Old Des Peres Rd,Des Peres,MO,63131.0,Manchester,2,2025-06-04,2025-09-02,328,90.0,118.18,236.35,Marketplace Takeout,cold
St Louis Music,st-louis-music,1400 Ferguson Ave,St. Louis,MO,63133.0,Lindell/SLU,2,2025-09-16,2025-09-17,313,0.0,311.32,622.63,Marketplace Takeout,cold
St. Lous Gastroenterology Associates,st-lous-gastroenterology-associates,3555 Sunset Office Dr Suite 107,St. Louis,MO,63127.0,Sunset Hills,2,2025-09-18,2025-12-11,228,83.0,513.87,1027.74,Marketplace Takeout,cold
St. Lukes Chesterfield Cardiology Care,st-lukes-chesterfield-cardiology-care,222 S Woods Mill Rd Suite 560N,Chesterfield,MO,63017.0,Creve Coeur,2,2025-02-03,2025-03-11,503,36.0,232.5,465.0,Marketplace Takeout,cold
Subtext,subtext,3000 Locust St,St. Louis,MO,63103.0,Lindell/SLU,2,2025-06-17,2025-08-18,343,61.0,128.22,256.45,Marketplace Takeout,cold
TVS Supply Chain Solutions,tvs-supply-chain-solutions,201 Logistics Center Dr,Wentzville,MO,63385.0,Rock Hill/Glendale,2,2025-02-26,2025-06-18,404,111.0,164.62,329.25,Marketplace Takeout,cold
The Residence Inn Downtown St. Louis,the-residence-inn-downtown-st-louis,525 S Jefferson Ave,St. Louis,MO,63103.0,Lindell/SLU,2,2025-05-03,2025-05-03,450,0.0,291.8,583.6,Marketplace Takeout,cold
United Way Building Downtown St. Louis,united-way-building-downtown-st-louis,910 N 11th St The Gateway Room,St. Louis,MO,63101.0,Lindell/SLU,2,2025-10-22,2025-10-23,277,0.0,177.92,355.85,Marketplace Takeout,cold
Vodaland,vodaland,3120 Riverport Tech Center Dr,Maryland Heights,MO,63043.0,Lindenwood,2,2025-03-20,2025-06-10,412,81.0,306.9,613.8,Marketplace Takeout,cold
Wash U Urology,wash-u-urology,70 Jungermann Cir 402,St. Peters,MO,63376.0,Lindenwood,2,2025-07-10,2025-10-14,286,95.0,224.24,448.49,Marketplace Delivery,cold
WashU/Center for Experiential Learning,washu-center-for-experiential-learning,"Forsyth Blvd Simon Hall, Suite 100",St. Louis,MO,63130.0,Forsyth/Clayton,2,2025-04-18,2025-10-30,270,195.0,124.5,249.0,Marketplace Takeout,cold
Washington University - College Office,washington-university---college-office,1 Brookings Dr,St. Louis,MO,63130.0,Forsyth/Clayton,2,2025-03-11,2025-04-28,455,47.0,77.02,154.03,Marketplace Takeout,cold
Washington University Medical Campus - UHSP,washington-university-medical-campus---uhsp,2 Pharmacy Pl,St. Louis,MO,63110.0,Lindell/SLU,2,2025-03-13,2025-04-17,466,34.0,120.02,240.05,Marketplace Takeout,cold
Westside Pediatrics,westside-pediatrics,100 Brevco Plaza 101,Lake Saint Louis,MO,63367.0,Wentzville,2,2025-06-05,2025-09-04,326,90.0,208.77,417.55,Marketplace Takeout,cold
Wiese,wiese,1435 Woodson Rd,St. Louis,MO,63132.0,Forsyth/Clayton,2,2025-02-18,2025-05-21,432,91.0,333.25,666.5,Marketplace Takeout,cold
Woodard & Curran,woodard-and-curran,1520 South 5th St Suite 273,Saint Charles,MO,63303.0,Lindenwood,2,2025-04-14,2025-08-18,343,125.0,236.72,473.45,Marketplace Takeout,cold
WorldWide Technology,worldwide-technology,108 Gateway Commerce Center Dr N,Edwardsville,IL,62025.0,Edwardsville,2,2025-05-20,2025-05-20,433,0.0,284.28,568.57,Marketplace Takeout,cold
Worldwide Technology,worldwide-technology,108 Gateway Commerce Center Dr N,Edwardsville,IL,62025.0,Edwardsville,2,2025-07-14,2025-10-15,285,93.0,306.36,612.72,Marketplace Takeout,cold
#1365 McCauley Animal Clinic,#1365-mccauley-animal-clinic,4646 Mid Rivers Mall Dr,St. Peters,MO,63376.0,O'Fallon,1,2025-11-11,2025-11-11,258,,365.0,365.0,Marketplace Takeout,cold
12303 DePaul Drive,12303-depaul-drive,12303 De Paul Dr May Center,Bridgeton,MO,63044.0,Lindenwood,1,2025-10-24,2025-10-24,276,,270.0,270.0,Marketplace Takeout,cold
4565 McKinley Ave,4565-mckinley-ave,Saint Louis 1st Floor,St. Louis,MO,63110.0,Lindell/SLU,1,2025-09-22,2025-09-22,308,,602.8,602.8,Marketplace Takeout,cold
API Innovation Center,api-innovation-center,20 S Sarah St,St. Louis,MO,63108.0,Lindell/SLU,1,2025-03-13,2025-03-13,501,,184.95,184.95,Marketplace Takeout,cold
ARCO Business Services,arco-business-services,8300 Eager Rd Ste. 500,Brentwood,MO,63144.0,Forsyth/Clayton,1,2025-06-18,2025-06-18,404,,300.78,300.78,Marketplace Takeout,cold
ATI Restoration,ati-restoration,13586 NW Industrial Dr,Bridgeton,MO,63044.0,Lindenwood,1,2025-03-17,2025-03-17,497,,92.7,92.7,Marketplace Takeout,cold
Accent Group Solutions,accent-group-solutions,1154 Reco Ave,St. Louis,MO,63126.0,Sunset Hills,1,2025-02-04,2025-02-04,538,,140.95,140.95,ezOrdering Takeout,cold
AdaptHealth / Mercy Clinic Primary Care - Water Tower Place,adapthealth---mercy-clinic-primary-care---water-tower-place,1237 Water Tower Place,Arnold,MO,63010.0,Tesson,1,2025-04-29,2025-04-29,454,,197.6,197.6,Marketplace Takeout,cold
Advanced Heart Care,advanced-heart-care,5020 N Illinois St,Fairview Heights,IL,62208.0,Shiloh,1,2025-06-17,2025-06-17,405,,125.8,125.8,Marketplace Takeout,cold
Affinia Healthcare,affinia-healthcare,1717 Biddle St Women's Health Dept.,St. Louis,MO,63106.0,Lindell/SLU,1,2025-04-23,2025-04-23,460,,104.29,104.29,Marketplace Takeout,cold
Alberici - St. Louis,alberici---st-louis,8800 Page Ave,St. Louis,MO,63114.0,West Oak,1,2025-10-16,2025-10-16,284,,292.5,292.5,Marketplace Takeout,cold
Alberici Constructors,alberici-constructors,2150 Kienlen Ave Building 2,St. Louis,MO,63121.0,Forsyth/Clayton,1,2025-10-15,2025-10-15,285,,75.85,75.85,Marketplace Takeout,cold
Alltru CU,alltru-cu,1232 Wentzville Parkway 1,Wentzville,MO,63385.0,Wentzville,1,2025-07-08,2025-07-08,384,,105.64,105.64,Marketplace Takeout,cold
Amazon STL8,amazon-stl8,4000 Premier Pkwy,St. Peters,MO,63376.0,O'Fallon,1,2025-07-23,2025-07-23,369,,452.46,452.46,Marketplace Takeout,cold
America's Center,americas-center,911 Washington Ave,St. Louis,MO,63101.0,Lindell/SLU,1,2025-03-08,2025-03-08,506,,241.0,241.0,Marketplace Takeout,cold
America's Center Convention Complex,americas-center-convention-complex,701 Convention Plaza,St. Louis,MO,63101.0,Lindell/SLU,1,2025-03-16,2025-03-16,498,,208.03,208.03,Marketplace Takeout,cold
American Family Insurance,american-family-insurance,800 NW Plz Dr,Saint Ann,MO,63074.0,West Oak,1,2025-02-06,2025-02-06,536,,504.06,504.06,Marketplace Takeout,cold
Americas Center,americas-center,701 Convention Plaza,St. Louis,MO,63101.0,Lindell/SLU,1,2025-11-07,2025-11-07,262,,344.75,344.75,Marketplace Takeout,cold
Anderson Med Group - Dr. Dean Schueler,anderson-med-group---dr-dean-schueler,20 Professional Park Dr Suite B,Maryville,IL,62062.0,Edwardsville,1,2025-06-09,2025-06-09,413,,265.45,265.45,Marketplace Takeout,cold
Anderson Medical Group- Gastroenterology,anderson-medical-group--gastroenterology,6812 IL-162 Suite 204,Maryville,IL,62062.0,Edwardsville,1,2025-10-27,2025-10-27,273,,314.2,314.2,Marketplace Takeout,cold
