Location,Slug,Street Address,City,State,Zip Code,Assigned Store,Order Count,First Order Date,Last Order Date,Days Since Last Order,Median Reorder Gap (days),Avg Food Total,Total Food Spend,Primary Source,Segment
Kilkowski,kilkowski,6400 Clayton Rd 303,Richmond Heights,MO,63117.0,Forsyth/Clayton,2,2026-03-30,2026-05-21,67,52.0,188.95,377.9,Marketplace Takeout,warm
Mercy primary care,mercy-primary-care,300 Winding Woods Dr 214,O'Fallon,MO,63366.0,Manchester,2,2026-01-29,2026-05-08,80,99.0,251.7,503.4,Marketplace Takeout,warm
Mid America Transplant,mid-america-transplant,1110 Highlands Plaza Dr Suite 100,St. Louis,MO,63110.0,South City,2,2026-05-19,2026-05-21,67,2.0,147.12,294.25,Marketplace Takeout,warm
Peoples National Bank,peoples-national-bank,14323 S Outer Forty Rd BRANCH-Teller Line,Chesterfield,MO,63017.0,Chesterfield Valley,2,2026-06-04,2026-06-24,33,19.0,141.6,283.2,Marketplace Takeout,warm
Purina,purina,901 Chouteau Ave,St. Louis,MO,63102.0,Lindell/SLU,2,2025-12-08,2026-05-19,69,162.0,141.85,283.7,Marketplace Takeout,warm
Renaissance Financial,renaissance-financial,5700 Oakland Ave Suite 400,St. Louis,MO,63110.0,South City,2,2026-05-05,2026-05-27,61,22.0,234.75,469.5,Marketplace Takeout,warm
Saint Louis Zoo - The Living World,saint-louis-zoo---the-living-world,1 Government Dr,St. Louis,MO,63110.0,South City,2,2025-06-20,2026-06-12,45,356.0,474.92,949.85,Marketplace Takeout,warm
Special School District of St. Louis County,special-school-district-of-st-louis-county,12110 Clayton Rd,St. Louis,MO,63131.0,West Oak,2,2026-03-16,2026-04-28,90,42.0,289.68,579.35,Marketplace Takeout,warm
Vista Dermatology,vista-dermatology,1058 Old Des Peres Rd,St. Louis,MO,63131.0,Manchester,2,2025-07-23,2026-06-24,33,335.0,305.38,610.75,Marketplace Takeout,warm
Wiese USA,wiese-usa,1435 Woodson Rd attn: Emily Ashby,St. Louis,MO,63132.0,Forsyth/Clayton,2,2026-04-28,2026-05-26,62,27.0,159.98,319.95,Marketplace Takeout,warm
65 Prime Plus by Mercy,65-prime-plus-by-mercy,2510 Lemay Ferry Rd,St. Louis,MO,63125.0,Tesson,1,2026-06-03,2026-06-03,54,,76.0,76.0,Marketplace Takeout,warm
Anderson Medical Group,anderson-medical-group,3417 Anderson Healthcare Dr 200,Edwardsville,IL,62025.0,Edwardsville,1,2026-06-16,2026-06-16,41,,175.75,175.75,Marketplace Takeout,warm
Ansira - Attn: Heather Reed,ansira---attn:-heather-reed,7733 Forsyth Blvd 900,St. Louis,MO,63105.0,Forsyth/Clayton,1,2026-06-04,2026-06-04,53,,343.5,343.5,Marketplace Takeout,warm
Associated Physicians Group,associated-physicians-group,916 Talon Dr,O'Fallon,IL,62269.0,Shiloh,1,2026-05-12,2026-05-12,76,,193.23,193.23,Marketplace Takeout,warm
BJC COE Building,bjc-coe-building,4901 Forest Park Ave 10143. 10th floor,St. Louis,MO,63108.0,Lindell/SLU,1,2026-06-17,2026-06-17,40,,132.3,132.3,Marketplace Takeout,warm
BJC Medical Group Orthopedics & Sports Medicine at Belleville,bjc-medical-group-orthopedics-and-sports-medicine-at-belleville,4700 Memorial Dr Suite 340 3rd Floor - Suite 340,Belleville,IL,62226.0,Shiloh,1,2026-06-25,2026-06-25,32,,149.89,149.89,Marketplace Takeout,warm
CIC,cic,20 S Sarah St,St. Louis,MO,63108.0,Lindell/SLU,1,2026-05-20,2026-05-20,68,,163.95,163.95,Marketplace Takeout,warm
Caleres Headquarters,caleres-headquarters,8300 Maryland Ave,St. Louis,MO,63105.0,Lindell/SLU,1,2026-05-29,2026-05-29,59,,162.5,162.5,Marketplace Takeout,warm
Caravus,caravus,101 S Hanley Rd suite 300 300,Clayton,MO,63105.0,Forsyth/Clayton,1,2026-05-05,2026-05-05,83,,480.0,480.0,Marketplace Takeout,warm
Cardiac Cath Lab,cardiac-cath-lab,3023 N Ballas Rd floor 2,Frontenac,MO,63131.0,Creve Coeur,1,2026-05-06,2026-05-06,82,,825.0,825.0,Marketplace Takeout,warm
Cardio Pulmonary,cardio-pulmonary,222 South Woods Mill Rd STE 310,Chesterfield,MO,63017.0,Creve Coeur,1,2026-05-14,2026-05-14,74,,302.7,302.7,Marketplace Takeout,warm
