apollo_account_id,location,slug,zip,store,segment
6a6a4103f334dc0020f82dc0,HUB International,hub-international,45236,Oakley,warm
6a6a410426f057001042fb43,Ameriprise Financial,ameriprise-financial,40222,Westport,warm
6a6a4105c98b510020606187,TriHealth Gastroenterology - Bethesda North,trihealth-gastroenterology---bethesda-north,45242,Oakley,warm
6a6a4106f0044c000cfcaf92,Kemper CPA Group LLP,kemper-cpa-group-llp,47715,Evansville,warm
6a6a4107d71123001420b485,Robert Stewart MD,robert-stewart-md,40222,Westport,warm
6a6a410732e89c001425f9c9,Clearpath/Harford,clearpath-harford,40223,Westport,warm
6a6a4108476c1100145430ce,Trihealth Pulmonology,trihealth-pulmonology,45230,Queen City Wild Eggs,warm
6a6a410988caba001ceea41e,Norton Cancer Insitute - Dr Park,norton-cancer-insitute---dr-park,40202,Westport,warm
6a6a410a476c1100145430d5,Deaconess West,deaconess-west,47712,Evansville,warm
6a6a410b856b94000c92e8f8,Allure Medical,allure-medical,47710,Evansville,warm
6a6a410ccd8c15000c108a7b,Christy Paddock Advisors,christy-paddock-advisors,46225,Pulliam,warm
6a6a410e4eef240020758aab,hinkle fieldhouse,hinkle-fieldhouse,46208,Carmel,warm
6a6a410efb05170010b2685b,Gastroenterology Health Partners,gastroenterology-health-partners,40218,Dupont,warm
6a6a410f0842f70014f7b1a0,Indianapolis Gastroenterology,indianapolis-gastroenterology,46237,Greenwood,warm
6a6a4112cfd0170014d790a5,Sheraton Indianapolis City Centre,sheraton-indianapolis-city-centre,46204,Pulliam,warm
6a6a4113f0044c000cfcb445,Westside Gastroenterology,westside-gastroenterology,46122,Avon,warm
6a6a411403ba060014282a8a,Found Village,found-village,45206,Queen City Wild Eggs,warm
6a6a4115856b94000c92e976,Evansville Primary Care,evansville-primary-care,47715,Evansville,warm
6a6a41160b982b00181edb41,Forefront Dermatology - Middletown,forefront-dermatology---middletown,40245,Westport,warm
6a6a4117af2626001498c1ed,First Urology Continence Center attention Rebecca Embury,first-urology-continence-center-attention-rebecca-embury,47130,Mercantile,warm
6a6a411800f4d300205b301c,Indiana neurology and pain,indiana-neurology-and-pain,46250,Carmel,warm
6a6a41184e3280001c74b93c,"Dr Michael Justin, Internal Medicine",dr-michael-justin-internal-medicine,45224,Queen City Wild Eggs,warm
6a6a41191d8fb20014d05910,The Medical Center Home Care Program,the-medical-center-home-care-program,42104,Bowling Green,warm
6a6a411ae24d570010f721cc,ADP,adp,40299,Jtown,warm
6a6a411b476c11001454312f,FLANDERS,flanders,47725,Evansville,warm
6a6a411caf262600104b4c28,The Christ Hosptial Physicians- Primary Care,the-christ-hosptial-physicians--primary-care,45212,Oakley,warm
6a6a411d88caba001ceea4f4,Family Allergy Goss Ave,family-allergy-goss-ave,40217,Mercantile,warm
6a6a411e3d7a0c0018a47118,"DMG - Divisions Maintenance Group ""Foundry Lobby""","dmg---divisions-maintenance-group-""foundry-lobby""",45202,Queen City Wild Eggs,warm
6a6a411e3ddb010020d27b66,GE Appliance Park,ge-appliance-park,40225,Dupont,warm
6a6a411f3577d300186207d1,CABA,caba,40218,Westport,warm
6a6a4120118fb2000c9ed360,Dr. Palakodeti,dr-palakodeti,42103,Bowling Green,warm
6a6a41219b4a55001c266061,"U Of L Primary Care, Dr. Carter",u-of-l-primary-care-dr-carter,40202,Westport,warm
6a6a4122b0834c000c4996b1,Hilton Downtown Indianapolis,hilton-downtown-indianapolis,46204,Pulliam,warm
6a6a4123b0834c000c4996bf,Hilton Indianapolis Downtown,hilton-indianapolis-downtown,46204,Pulliam,warm
6a6a4124fec12d000c896a4b,mastec,mastec,46290,Carmel,warm
6a6a412533b42e00149eda94,Associates of Dermatology,associates-of-dermatology,40217,Westport,warm
6a6a4126f0044c001443b574,Waystar,waystar,40223,Jtown,cold
6a6a4127ae7a0300207538c3,Crossroads,crossroads,45209,Oakley,cold
6a6a4129d71123001420b776,Rosa Parks,rosa-parks,45202,Oakley,cold
6a6a412acb572f00180157b6,"STACK Construction Technologies, Inc.",stack-construction-technologies-inc,45242,Oakley,cold
6a6a412b8faadc001849826a,DKY6 Amazon,dky6-amazon,40213,Dupont,cold
6a6a412ca0eff4000c548fe9,Musillo Unkenholt,musillo-unkenholt,45202,Queen City Wild Eggs,cold
6a6a412dc7b09b001cfd2bf3,Taft Law,taft-law,46204,Pulliam,cold
6a6a412ecd8c15000c108f8f,The Annex Group,the-annex-group,46038,Fishers,cold
6a6a412fc85fa3000ce2396a,Franciscan Oncology,franciscan-oncology,46237,Pulliam,cold
6a6a4130ae7a030017d61871,FPN cancer and hematology,fpn-cancer-and-hematology,46237,Greenwood,cold
6a6a413177f4eb00106cd56e,Louisville Bats,louisville-bats,40202,Mercantile,cold
6a6a413277dfa2000cb823f2,Tri Health Surgery Center West,tri-health-surgery-center-west,45211,Queen City Wild Eggs,cold
