Order Number,Location,Street Address,City,State,Zip Code,Store Number,Store Name,Caterer Name,Event Date,Submitted At,Food Total,Promotion,Delivery Fee,Commission,Sales Tax,Sales Tax Remitted by ezCater,Tip,Payment Transaction Fee,Adjustments,Discounts,Misc Fees,Preferred Partner Program,Rewards,Caterer Total Due,Status,Order Paid By Caterer Payment Method,Source,Promotion Code,Driver,House Account ID,House Account Tax ID,Campaign Name
Y8W-QPQ,,,Manchester,MO,63021,,Manchester,CBW- Crazy Bowls and Wraps (Manchester),04/09/2025 11:30 AM,04/07/2025 1:24 PM,$173.20 ,$0.00 ,$0.00 ,($25.98),$15.13 ,$0.00 ,$0.00 ,($5.63),$0.00 ,$0.00 ,0,-3.46,-8.66,144.6,Completed,ach,Marketplace Takeout,,N/A,,,
ZF7-G4U,Weissman,6750 Manchester Ave,St. Louis,MO,63139,,Rock Hill/Glendale,CBW- Crazy Bowls and Wraps (Rock Hill/Glendale),04/10/2025 8:02 AM,04/04/2025 12:46 PM,$187.50 ,$0.00 ,$20.00 ,($14.53),$17.32 ,$0.00 ,$0.00 ,($6.72),$0.00 ,$0.00 ,-30,0,0,173.57,Completed,ach,ezOrdering Takeout,,Dispatch,,,
322-14E,Aspire Software,390 S Woods Mill Rd ste 200-2nd floor,Chesterfield,MO,63017,,West Oak,CBW- Crazy Bowls and Wraps (West Oak),04/10/2025 10:45 AM,03/26/2025 1:28 PM,$137.39 ,$0.00 ,$25.00 ,($20.61),$12.35 ,$0.00 ,$27.48 ,($5.22),$0.00 ,$0.00 ,0,0,0,176.39,Completed,ach,Meal Program,,,,,
ACQ-ART,Hunter Engineering - c/o Jim Tworek,11250 Hunter Dr,Bridgeton,MO,63044,,West Oak,CBW- Crazy Bowls and Wraps (West Oak),04/10/2025 11:13 AM,04/05/2025 1:41 PM,$308.70 ,$0.00 ,$20.00 ,($49.31),$27.75 ,$0.00 ,$0.00 ,($10.66),$0.00 ,$0.00 ,-30.87,-6.17,-15.44,244,Completed,ach,Marketplace Takeout,,Dispatch,,,
49Q-P0A,Sysco Foods,3850 Mueller Rd,Saint Charles,MO,63301,,Lindenwood,CBW- Crazy Bowls and Wraps (Lindenwood),04/10/2025 11:18 AM,04/09/2025 11:23 AM,$169.50 ,$0.00 ,$20.00 ,($13.27),$16.87 ,$0.00 ,$0.00 ,($6.17),$0.00 ,$0.00 ,-30,-3.39,-8.48,145.06,Completed,ach,Marketplace Takeout,,Dispatch,,,
W3W-X3U,Lynn Family Stadium,1201 Franklin St,Louisville,KY,40206,4,Mercantile,Wild Eggs #4 (Mercantile),04/11/2025 8:45 AM,04/08/2025 4:01 PM,$379.00 ,$0.00 ,$35.00 ,($62.10),$24.84 ,($24.84),$25.00 ,($13.12),$0.00 ,$0.00 ,0,-7.58,0,356.2,Completed,ach,Marketplace Delivery,,Mikey  Thomas ,,,
7H9-4W6,St Elizabeths cath lab and ep lab in hospital,1 St Elizabeth's Blvd Second floor,O'Fallon,IL,62269,,Shiloh,CBW- Crazy Bowls and Wraps (Shiloh),04/11/2025 10:35 AM,04/10/2025 1:46 PM,$577.00 ,$0.00 ,$20.00 ,($89.55),$48.18 ,($48.18),$0.00 ,($19.29),$0.00 ,$0.00 ,-57.7,-11.54,-28.85,390.07,Completed,ach,Marketplace Takeout,,Dispatch,,,
7A9-PWU,UMSL Recreation and Wellness Center,11 Arnold B Grobman Dr,St. Louis,MO,63121,,Forsyth/Clayton,CBW- Crazy Bowls and Wraps (Forsyth/Clayton),04/12/2025 10:17 AM,04/08/2025 9:26 AM,$97.49 ,$0.00 ,$20.00 ,($17.62),$9.98 ,$0.00 ,$0.00 ,($3.81),$0.00 ,$0.00 ,-30,-1.95,-4.87,69.22,Completed,ach,Marketplace Takeout,,Dispatch,,,
09E-Q7A,Korte Stadium,3345 Stadium Dr,Edwardsville,IL,62025,,Edwardsville,CBW- Crazy Bowls and Wraps (Edwardsville),04/12/2025 3:58 PM,04/11/2025 12:25 PM,$855.16 ,$0.00 ,$20.00 ,($131.27),$0.00 ,$0.00 ,$0.00 ,($26.17),$0.00 ,$0.00 ,-85.52,-17.1,-42.76,572.34,Completed,ach,Marketplace Takeout,,Dispatch,,,
8CG-FVZ,Lynn Family Stadium,1201 Franklin St,Louisville,KY,40206,4,Mercantile,Wild Eggs #4 (Mercantile),04/13/2025 8:15 AM,04/11/2025 10:58 AM,$379.00 ,$0.00 ,$35.00 ,($62.10),$24.84 ,($24.84),$25.00 ,($13.12),$0.00 ,$0.00 ,0,-7.58,0,356.2,Completed,ach,Marketplace Delivery,,Mikey Thomas,,,
V8U-UF8,Traders Point Christian Church,2350 E 62nd St,Indianapolis,IN,46220,6,Pulliam,Wild Eggs #6 (Pulliam),04/13/2025 8:30 AM,03/19/2025 2:57 PM,$226.00 ,$0.00 ,$35.00 ,($39.15),$0.00 ,$0.00 ,$22.60 ,($7.80),$0.00 ,$0.00 ,0,-4.52,0,232.13,Completed,ach,Marketplace Delivery,,Skylar Greene,,,
MT5-GJP,OnTarget CPA,101 W Ohio St 800,Indianapolis,IN,46204,6,Pulliam,Wild Eggs #6 (Pulliam),04/13/2025 10:45 AM,04/11/2025 5:23 PM,$323.00 ,$0.00 ,$35.00 ,($53.70),$32.22 ,($25.06),$20.00 ,($11.67),$0.00 ,$0.00 ,0,-6.46,-9.69,303.64,Completed,ach,Marketplace Delivery,,Skylar Greene,,,
KJK-JK6,Urology of STL,112 Piper Hill Dr Suite 12,St. Peters,MO,63376,,Lindenwood,CBW- Crazy Bowls and Wraps (Lindenwood),04/14/2025 11:03 AM,04/13/2025 7:55 PM,$191.25 ,$0.00 ,$20.00 ,($31.69),$19.03 ,$0.00 ,$0.00 ,($6.89),$0.00 ,$0.00 ,-30,-3.83,-9.56,148.31,Completed,ach,Marketplace Takeout,,Dispatch,,,
6CW-9R2,"Urology Specialists, Dr. Berni and Glaser",70 Jungermann Rd,St. Peters,MO,63376,,Lindenwood,CBW- Crazy Bowls and Wraps (Lindenwood),04/14/2025 11:20 AM,04/12/2025 10:54 PM,$152.10 ,$0.00 ,$20.00 ,($25.82),$15.13 ,$0.00 ,$0.00 ,($5.60),$0.00 ,$0.00 ,-30,-3.04,-7.61,115.16,Completed,ach,Marketplace Takeout,,Dispatch,,,
49V-9V0,Woodard & Curran,1520 South 5th St Suite 273,Saint Charles,MO,63303,,Lindenwood,CBW- Crazy Bowls and Wraps (Lindenwood),04/14/2025 11:36 AM,04/11/2025 1:11 PM,$217.50 ,$0.00 ,$20.00 ,($35.63),$21.64 ,$0.00 ,$0.00 ,($7.75),$0.00 ,$0.00 ,-30,-4.35,-10.88,170.53,Completed,ach,Marketplace Takeout,,Dispatch,,,
VJC-656,Louisville Paving and Construction,15415 Shelbyville Rd,Louisville,KY,40245,3,Landis,Wild Eggs #3 (Landis),04/15/2025 7:30 AM,04/14/2025 11:45 AM,$335.00 ,$0.00 ,$35.00 ,($55.50),$22.20 ,($22.20),$33.50 ,($11.73),$0.00 ,$0.00 ,0,-13.4,0,322.87,Completed,ach,Marketplace Delivery,,Ally Kennedy,,,
HW4-VXE,OMS Photo,1636 Chase Ave,Cincinnati,OH,45223,9,Queen City Wild Eggs,Wild Eggs #9 (Queen City Wild Eggs),04/15/2025 7:45 AM,04/11/2025 10:05 AM,$287.00 ,$0.00 ,$35.00 ,($48.30),$0.00 ,$0.00 ,$43.05 ,($9.63),$0.00 ,$0.00 ,0,-5.74,0,301.38,Completed,ach,Marketplace Delivery,,Mariah Imjalli,,,
29W-XCJ,Cincinnati Music Hall,1244 Central Pkwy 2nd Floor Ballroom,Cincinnati,OH,45202,9,Queen City Wild Eggs,Wild Eggs #9 (Queen City Wild Eggs),04/15/2025 8:00 AM,04/09/2025 11:47 AM,$354.00 ,$0.00 ,$35.00 ,($58.35),$2.81 ,($2.81),$70.80 ,($11.72),$0.00 ,$0.00 ,0,-7.08,0,382.65,Completed,ach,Marketplace Delivery,,Shirelle Bloom,,,
JGY-Y0Y,Houchens Insurance Group,1750 Scottsville Rd suite 4 Suite 4,Bowling Green,KY,42104,14,Bowling Green,Wild Eggs #14 (Bowling Green),04/15/2025 8:45 AM,04/14/2025 5:56 AM,$110.00 ,$0.00 ,$35.00 ,($21.75),$8.70 ,($8.70),$16.50 ,($4.60),$0.00 ,$0.00 ,0,0,0,135.15,Completed,ach,Marketplace Delivery,,Mariah Thomas,,,
